Forecast_Date,Actual_BTC_Price,ARIMA_CHAMPION,LSTM_NeuralNet,Prophet_Trend,SARIMA_Seasonal,ENSEMBLE_Average,ARIMA_Error_$,ARIMA_Error_%
2025-11-05,103891.8359375,117457.34532972421,115992.05,127530.88265625,130546.17213280384,122881.61174844451,13565.509392224209,13.057339173777857
2025-11-06,101301.2890625,117457.34532972421,116239.586,127658.45,130412.11334837637,122941.87365390014,16156.056267224209,15.948519921850535
2025-11-07,103372.40625,117457.34532972421,116485.234,127786.01734375,130715.30972783154,123110.97669407644,14084.939079724209,13.625434088919844
2025-11-08,102282.1171875,117457.34532972421,116728.984,127913.5846875,130732.64835693504,123208.14068728982,15175.228142224209,14.836638661287694
2025-11-09,104719.640625,117457.34532972421,116970.81,128041.15203125,130842.52249740392,123327.95808959453,12737.704704724209,12.163625303430713
2025-11-10,105996.59375,117457.34532972421,117210.695,128168.719375,131143.68018111205,123495.11004958407,11460.751579724209,10.812377241815103
2025-11-11,102997.46875,117457.34532972421,117448.67,128296.28671875,131118.87063992178,123580.293640849,14459.876579724209,14.039060139256296
2025-11-12,101663.1875,117457.34532972421,117684.66,128423.8540625,131727.7420156252,123823.39941446236,15794.157829724209,15.535768863950098
2025-11-13,99697.4921875,117457.34532972421,117918.695,128551.42140625,131593.71701867235,123880.29476678664,17759.85314222421,17.81374110075251
2025-11-14,94397.7890625,117457.34532972421,118150.76,128678.98875,131896.9471643423,124046.00976414164,23059.55626722421,24.428068174305086
2025-11-15,95549.1484375,117457.34532972421,118380.81,128806.55609375,131914.3195471808,124139.75836766376,21908.19689222421,22.928720193204715
2025-11-16,94177.078125,117457.34532972421,118608.86,128934.1234375,132024.22743501933,124256.13889431089,23280.26720472421,24.71967454100096
2025-11-17,92093.875,117457.34532972421,118834.914,129061.69078125,132325.41885897607,124419.84225811258,25363.47032972421,27.540887306266793
2025-11-18,92948.875,117457.34532972421,119058.95,129189.258125,132300.64304893816,124501.5499071656,24508.47032972421,26.367689043814902
2025-11-19,91465.9921875,117457.34532972421,119280.97,129316.82546875,132909.5481476886,124741.17192404071,25991.35314222421,28.416411958822284
2025-11-20,86631.8984375,117457.34532972421,119500.96,129444.3928125,132775.55687243113,124794.56398803883,30825.44689222421,35.58209787410237
2025-11-21,85090.6875,117457.34532972421,119718.9,129571.96015625,133078.8207297183,124956.75616329812,32366.65782972421,38.03783795932335
2025-11-22,84648.359375,117457.34532972421,119934.81,129699.5275,133096.2268158797,125046.97803640098,32808.98595472421,38.75915162085705
2025-11-23,86805.0078125,117457.34532972421,120148.66,129827.09484375,133206.1683999893,125159.81620586588,30652.33751722421,35.31171563676796
2025-11-24,88270.5625,117457.34532972421,120360.47,129954.6621875,133507.3935130132,125319.96744505934,29186.78282972421,33.06513746270078
2025-11-25,87341.890625,117457.34532972421,120570.22,130082.22953124999,133482.6513844387,125398.11124885324,30115.45470472421,34.479966587881734
2025-11-26,90518.3671875,117457.34532972421,120777.9,130209.796875,134091.59015725125,125634.15769986887,26938.97814222421,29.760786654958913
2025-11-27,91285.375,117457.34532972421,120983.516,130337.36421875001,133957.63255002702,125683.96443087532,26171.97032972421,28.670496593484124
2025-11-28,90919.265625,117457.34532972421,121187.12,130464.9315625,134260.93006754803,125842.58103681807,26538.07970472421,29.188620830024668
2025-11-29,90851.7578125,117457.34532972421,121388.62,130592.49890625,134278.36980650722,125929.20780749536,26605.58751722421,29.284615023225925
2025-11-30,90394.3125,117457.34532972421,121588.05,130720.06625,134388.34503623223,126038.45087273911,27063.03282972421,29.93886681722836
